"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"243a";757.8;930.3;980.3;984;974.4;966.2;961.9;954.6;955.3;962.4;0.464
"243a";847.6;932.6;996.7;996;985.8;969.6;953.5;945.9;947.6;952.2;0.44
"243a";823.6;928.1;1013.9;1033.3;1019.6;1001.2;977.7;963.2;952;977.4;0.432
"243a";832.2;940.5;998.8;997.9;991;957.7;944.9;938.9;942;952.3;0.464
"243a";766.9;905.9;998.4;0;1003.9;990.7;972.2;967.8;970.7;965.4;0.448
"243a";788.8;960;1023.5;1013.7;1000.7;972.3;967.7;958.3;966.9;965.3;0.456
"243a";824.5;928.9;985.2;999.5;995.4;983.6;963.6;957.1;963.4;981.3;0.44
"breb";853.5;869.9;911.4;937.3;942.6;968.5;983.6;997;980.8;980.1;0.584
"breb";902;921.3;954.1;980.1;987.9;1020.9;1042;1039.7;1021.1;1028.2;0.624
"breb";875;919.6;928.7;988.4;1008.1;1031;1061.7;1040.9;1033.9;1016.4;0.608
"breb";928.1;950.2;987.7;1003.3;1014.1;1057.4;1057.8;1033.1;1004.3;984.3;0.608
"breb";884.2;928.6;968.7;992.3;1021.5;1037.4;1053.3;1040.6;1006.8;1031.3;0.616
"breb";818.8;867;917;954;977.4;992.2;1003.9;1013.5;1010.2;997.1;0.584
"breb";906.7;920.8;958.7;984;999.2;1020.6;1030.9;1038.4;1019.3;1020;0.576
"breb";778.2;875.5;910.4;943.9;970;981.3;1003.9;1012.8;1011.4;1006.6;0.632
"breb";880.9;894.1;928.3;966.6;988.8;1000.2;993.6;1000.6;996.1;985.1;0.568
"breb";896.8;906.8;948.3;969.3;985.8;992.7;1009.9;1016.7;1001.5;992.7;0.576
"buda";911.2;958.9;972.4;998.7;1013.3;1025;1035.3;1034.5;1014.4;508.4;0.64
"buda";605.8;998.7;996.2;1016.5;1019.1;1017.5;1021.8;1016.3;994.9;517.5;0.632
"buda";803.8;910.5;942.6;982.5;1004.1;1017.3;1027.5;1021.5;1005.9;1015.4;0.632
"buda";789;949;959.2;988;1010.1;1026.7;1033.3;1025.4;1029;509;0.64
"buda";949.5;984;993.9;1020;1043.9;1050.7;1048.3;1042.9;1018.7;516;0.608
"buda";738.9;952.7;956.9;991.6;1020.5;1026.8;1030.9;1034.4;1009.5;519.1;0.64
"buda";1507.1;960;972;1001.5;1018.1;1033;1031.2;1021.6;1009.9;1014.3;0.664
"buda";1326.2;990.3;824.4;1012.8;1036.3;1044.8;1041.7;1034.7;1021;514.8;0.624
"buda";1507.1;965.2;994.7;1018;1027.6;1039.7;1032.5;1020.3;992.5;592.9;0.712
"buda";954.2;994;1016.5;1032.9;1046.5;0;1045.1;1039.3;1030;508;0.648
"cerb";893.6;936.7;962.6;1004.4;1011.8;1027;1033.3;1033;1020.9;974;0.408
"cerb";949.2;1013.1;1065.8;1079.3;1086.4;1076;1068.2;1056.8;1042.4;989.6;0.416
"cerb";913;975.9;1020.1;1055.2;1065.4;1056.6;1056.8;1052.7;1039.8;990.9;0.408
"cerb";935.5;1009.3;1057.4;1073.7;1071.9;1075.9;1063.4;1047.1;1027.2;987.1;0.392
"cerb";941;1023.2;1070;1082.7;1109.1;1093.2;1073;1064.4;1049.9;1006;0.384
"cerb";934.1;1003.8;1060;1074.1;1076.1;1077.5;1068.9;1057.5;1047.8;996.3;0.4
"cerb";949.9;1026.1;1071.5;1087;1083.5;1090.2;1082.8;1068.3;1053.3;999.8;0.384
"cerb";935.1;1004.2;1055;1076.5;1077;1065.7;1063.1;1055.1;1038.6;997.8;0.4
