cov;id;i;o;p;it;DS;HS
0;0.1;10;20;6;10;0.175;0.187667957
0;0.1;10;20;8;1;0.135;0.132435722
0;0.1;10;20;8;2;0.155;0.212471008
0;0.1;10;20;8;3;0.13;0.070989886
0;0.1;10;20;8;4;0.125;0.030161993
0;0.1;10;20;8;5;0.125;0.065963293
0;0.1;10;20;8;6;0.14;0.090433201
0;0.1;10;20;8;7;0.125;0.107661274
0;0.1;10;20;8;8;0.11;-0.01011168
0;0.1;10;20;8;9;0.15;0.086482156
0;0.1;10;20;8;10;0.17;0.101365094
0;0.1;10;20;10;1;0.09;0.098941222
0;0.1;10;20;10;2;0.08;0.01703478
0;0.1;10;20;10;3;0.195;0.237521598
0;0.1;10;20;10;4;0.1;0.02722719
0;0.1;10;20;10;5;0.14;0.108539257
0;0.1;10;20;10;6;0.08;0.092681782
0;0.1;10;20;10;7;0.11;0.054340553
0;0.1;10;20;10;8;0.155;0.097614408
0;0.1;10;20;10;9;0.12;0.049790277
0;0.1;10;20;10;10;0.115;0.015197788
0;0.1;15;4;2;1;0.116666667;0.085391633
0;0.1;15;4;2;2;0.066666667;-0.044418362
0;0.1;15;4;2;3;0.05;-0.097100007
0;0.1;15;4;2;4;0.066666667;0.020486002
0;0.1;15;4;2;5;0.066666667;-0.040481265
0;0.1;15;4;2;6;0.033333333;0.064025732
0;0.1;15;4;2;7;0.066666667;-0.117125217
0;0.1;15;4;2;8;0.066666667;0.064015521
0;0.1;15;4;2;9;0.066666667;-0.025068723
0;0.1;15;4;2;10;0.066666667;0.068184687
0;0.1;15;4;4;1;0.083333333;0.046632582
0;0.1;15;4;4;2;0.083333333;0.197684445
0;0.1;15;4;4;3;0.066666667;0.029663657
0;0.1;15;4;4;4;0.05;-0.161405998
0;0.1;15;4;4;5;0.083333333;0.384862304
0;0.1;15;4;4;6;0.066666667;0.226469889
0;0.1;15;4;4;7;0.033333333;0.086156661
0;0.1;15;4;4;8;0.05;-0.125146358
0;0.1;15;4;4;9;0.05;-0.063401853
0;0.1;15;4;4;10;0.05;0.112901928
0;0.1;15;4;6;1;0.066666667;-0.096834371
0;0.1;15;4;6;2;0.066666667;-0.224152086
0;0.1;15;4;6;3;0.016666667;0.062742269
0;0.1;15;4;6;4;0.016666667;0.124312717
0;0.1;15;4;6;5;0.05;-0.132680596
0;0.1;15;4;6;6;0.05;0.277957461
0;0.1;15;4;6;7;0.083333333;0.022418565
0;0.1;15;4;6;8;0.1;0.100950167
0;0.1;15;4;6;9;0;0.053648654
0;0.1;15;4;6;10;0.116666667;0.136964178
0;0.1;15;4;8;1;0.033333333;-0.177687737
0;0.1;15;4;8;2;0.066666667;0.051081298
0;0.1;15;4;8;3;0.05;-0.13709252
0;0.1;15;4;8;4;0.066666667;0.054465997
0;0.1;15;4;8;5;0.066666667;0.201054375
0;0.1;15;4;8;6;0.05;-0.155008977
0;0.1;15;4;8;7;0.133333333;0.489351191
0;0.1;15;4;8;8;0.083333333;0.151626749
0;0.1;15;4;8;9;0.1;0.055098789
0;0.1;15;4;8;10;0;-0.333116822
0;0.1;15;4;10;1;0.05;-0.418333444
0;0.1;15;4;10;2;0.066666667;0.072136047
0;0.1;15;4;10;3;0.1;0.253638215
0;0.1;15;4;10;4;0.05;-0.035897989
0;0.1;15;4;10;5;0.083333333;-0.248149572
0;0.1;15;4;10;6;0.083333333;-0.049952403
0;0.1;15;4;10;7;0.066666667;0.213578707
0;0.1;15;4;10;8;0.033333333;-0.028960588
0;0.1;15;4;10;9;0.016666667;-0.092902247
0;0.1;15;4;10;10;0.033333333;-0.03698522
0;0.1;15;8;2;1;0.091666667;-0.074736224
0;0.1;15;8;2;2;0.033333333;-0.094086836
0;0.1;15;8;2;3;0.058333333;0.007619493
0;0.1;15;8;2;4;0.125;0.085797002
0;0.1;15;8;2;5;0.05;0.011632178
0;0.1;15;8;2;6;0.05;0.027920062
0;0.1;15;8;2;7;0.025;-0.056371398
0;0.1;15;8;2;8;0.041666667;-0.01177486
0;0.1;15;8;2;9;0.1;-0.025365599
