filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
13.csv;35;6;6;10;10;7.667957955;0.847619048;1.037166539;4.546010741;8.850168969;0.791018553;14
14.csv;19;9;9;10;10;9.23724455;0.964912281;1.123483232;4.094218354;9.675341491;0.940780977;14
15.csv;33;10;10;10;10;1.039399717;0.121212121;0.148814354;2.078813168;0.769833911;0.148165274;14
16.csv;30;6;6;10;10;2.181853386;0.272222222;0.301544681;2.760224755;2.158999733;0.266751192;14
17.csv;29;13;13;10;10;2.323840697;0.371352785;0.256322283;2.277012249;2.528378617;0.339642881;14
18.csv;20;8;8;10;10;7.07343119;0.9125;1.156579377;3.967305604;8.77765149;0.841907956;14
19.csv;11;19;19;10;10;4.431874765;0.889952153;0.844193558;2.916693997;6.543935174;0.796115902;14
2.csv;9;19;19;10;10;5.658925788;0.988304094;0.821748548;3.102931473;8.179259012;0.91791983;14
20.csv;22;14;14;10;10;6.683537332;0.866883117;1.170009058;3.861122951;7.533008824;0.850030554;14
21.csv;19;10;10;10;10;0.509655841;0.142105263;0.058913738;1.494335386;0.545112646;0.133607767;14
22.csv;19;6;6;10;10;3.719538453;0.49122807;0.467887218;2.698494245;3.283105821;0.531167913;14
23.csv;35;16;16;10;10;3.06614291;0.432142857;0.550239151;2.7411889;3.151841994;0.418211082;14
24.csv;33;6;6;10;10;3.837231789;0.439393939;0.620633328;3.39728241;3.725275483;0.450293969;14
25.csv;38;12;12;10;10;8.919353843;0.907894737;0.964898022;4.833935519;9.250803992;0.912687424;14
26.csv;28;13;13;10;10;4.909849381;0.722527473;0.856133375;3.565152922;5.838416808;0.650220625;14
27.csv;16;13;13;10;10;6.325897938;0.841346154;0.775022535;3.286191718;6.481794171;0.869259983;14
28.csv;16;8;8;10;10;8.126871851;0.953125;1.125512512;3.791925505;9.192848626;0.911767673;14
29.csv;21;14;14;10;10;4.51760202;0.710884354;0.905105811;3.160550707;5.072839416;0.677387917;14
3.csv;29;12;12;10;10;1.681621602;0.252873563;0.217467647;2.093043949;1.623646489;0.246285747;14
30.csv;32;5;5;10;10;4.081404516;0.45;0.738806192;3.457298616;3.904770347;0.467042181;14
31.csv;5;10;10;10;10;1.054859701;0.46;0.162413601;0.586272004;1.043417817;0.438422908;14
32.csv;32;8;8;10;10;7.983255258;0.90625;1.176120869;4.598002007;9.436858602;0.839974124;14
33.csv;6;18;18;10;10;3.455181105;0.907407407;0.63203657;2.148362554;5.94493513;0.790790506;14
34.csv;27;15;15;10;10;0.898641401;0.130864198;0.112505659;1.49555091;0.646221736;0.157303307;14
35.csv;31;11;11;10;10;8.922681875;0.95601173;1.114824255;4.751488899;10.05696601;0.912960153;14
36.csv;11;7;7;10;10;5.455070996;0.844155844;0.756576211;2.876059011;6.568658358;0.802542254;14
37.csv;6;6;6;10;10;0.802511852;0.333333333;0.094688599;0.733706843;0.805955091;0.331991493;14
38.csv;27;15;15;10;10;6.183360482;0.817283951;0.730542924;3.8752107;7.05473131;0.784781095;14
39.csv;7;20;20;10;10;1.829312751;0.614285714;0.353326134;1.317138014;2.223735453;0.554508181;14
4.csv;28;15;15;10;10;2.372112746;0.34047619;0.369845455;2.173907957;2.161163561;0.35914656;14
40.csv;34;20;20;10;10;1.832108798;0.226470588;0.307775092;1.946549849;1.434428158;0.265192161;14
41.csv;9;8;8;10;10;2.241239035;0.486111111;0.384517863;1.479196786;1.995407041;0.51677549;14
