id;i;o;parmean;Pvalue;PIC3;PIC4;Fvalue;PICbwtotal;PICbwmeans;HSngroups;HSntot;HSnpergroup;HSvarcomp
0.01;5;16;1005.608717;0.907057747;0.126773555;0.989175753;0.252861258;1.001501931;0.128353288;-0.116747152;-0.006768489;-0.034496002;0
0.01;5;16;1008.036121;0.773984045;0.16786463;0.989758991;0.447356547;1.002092436;0.169956401;-0.084490012;-0.005000391;-0.025355965;0
0.01;5;16;998.965926;0.809205826;0.159203508;0.99344413;0.398385398;1.005823496;0.161187352;-0.092477036;-0.005445165;-0.02764641;1.28E-15
0.01;5;20;1005.059974;0.496110572;0.205641445;0.993593468;0.851572239;1.003504625;0.207692732;-0.02173787;-0.001071475;-0.005373364;3.20E-16
0.01;5;20;1013.893951;0.910660125;0.111310339;0.985714676;0.24727792;0.995547241;0.112420666;-0.11769479;-0.005450281;-0.027672788;0
0.01;5;20;999.4754563;0.97216818;0.080409388;0.989565696;0.127399013;0.999436675;0.081211477;-0.138347589;-0.006322109;-0.032179647;0
0.01;5;20;1003.141902;0.22536497;0.269658046;1.012334001;1.444578011;1.022432096;0.272347902;0.06144607;0.003199845;0.015859143;0.031718286
0.01;5;20;998.5467715;0.424252293;0.220373762;0.996907928;0.976394342;1.006852147;0.222572004;-0.003413641;-0.000170299;-0.000851897;5.13E-15
0.01;5;20;993.475952;0.73469846;0.158734071;0.992297967;0.50147473;1.002196202;0.160317454;-0.075765187;-0.003605093;-0.018208387;0
0.01;5;20;1010.107367;0.222043787;0.271931416;1.017378357;1.455114773;1.027526769;0.274643948;0.062840728;0.003275511;0.016230816;0.032461626
0.01;5;20;986.1254853;0.735530454;0.157898001;0.988174699;0.500332006;0.998031803;0.159473043;-0.075948328;-0.003613378;-0.018250656;0
0.01;5;20;1006.425523;0.372194904;0.230692879;0.995554586;1.077263307;1.005485305;0.232994055;0.011061493;0.000557122;0.002781316;0.00556264
0.01;5;20;1004.001493;0.66838025;0.172332676;0.992378777;0.593216301;1.002277818;0.174051705;-0.061211686;-0.002940309;-0.01482288;0
0.01;5;20;983.9457795;0.929827752;0.103237095;0.981048699;0.214443336;0.990834721;0.104266891;-0.123293005;-0.005688968;-0.02890441;0
0.01;5;20;1006.277267;0.050713884;0.349976437;1.027266257;2.458114662;1.037513302;0.353467474;0.18459248;0.010442129;0.050761662;0.101523349
0.01;5;20;993.0622642;0.494352504;0.205315721;0.990396378;0.854466557;1.000275644;0.207363758;-0.021307662;-0.001050567;-0.0052682;1.60E-15
0.01;5;20;998.3757526;0.492073206;0.209760252;1.009692325;0.858229506;1.019764069;0.211852623;-0.020748725;-0.001023384;-0.005131499;3.20E-16
0.01;5;20;992.3915111;0.317993947;0.243190722;0.998696819;1.19528056;1.008658882;0.245616565;0.027636783;0.001407278;0.007009094;0.014018187
0.01;5;20;999.9749749;0.549752883;0.194251055;0.987663532;0.766335752;0.997515538;0.196188721;-0.034523756;-0.001687504;-0.008477274;2.92E-14
0.01;5;20;1000.028907;0.762949513;0.150712453;0.980084163;0.46266747;0.989860563;0.152215819;-0.082010892;-0.003886486;-0.019645273;0
0.01;5;20;996.8677197;0.169026964;0.284727933;1.005264446;1.646363911;1.015292022;0.287568112;0.08769701;0.004647526;0.022943863;0.045887727
0.01;5;20;1006.225007;0.851162975;0.129273304;0.97986694;0.338807946;0.989641174;0.130562813;-0.102314684;-0.00478533;-0.024250565;0
0.01;5;20;1012.123334;0.154410106;0.295322131;1.024667695;1.708915504;1.034888819;0.298267987;0.095644307;0.005095704;0.025126002;0.050252006
0.01;10;4;1006.854136;0.470602453;0.479313937;0.963391152;0.98721448;1.017245316;0.506107884;-0.00092287;-0.000230607;-0.002309394;4.48E-15
0.01;10;4;998.7744977;0.613969649;0.457225977;0.995383135;0.806263909;1.05102567;0.482785193;-0.014112253;-0.003502265;-0.035812202;0
0.01;10;4;1008.484219;0.784903128;0.382196184;0.938660253;0.602292627;0.991131944;0.403561188;-0.029274596;-0.007208024;-0.075542309;0
0.01;10;4;1006.964468;0.821954333;0.37271892;0.947648038;0.555264138;1.000622152;0.393554139;-0.03281617;-0.008065147;-0.085021626;9.61E-15
0.01;10;4;1021.541726;0.800474129;0.383724099;0.955660079;0.582811165;1.009082071;0.405174515;-0.030739578;-0.007562962;-0.079453996;0
0.01;10;4;994.7604095;0.429988097;0.539352407;1.061102996;1.043927952;1.120419312;0.569502542;0.003161792;0.000791748;0.007878647;0.015757327
0.01;10;4;1026.611927;0.780066285;0.396642312;0.970073246;0.608275695;1.024300943;0.418814863;-0.028825274;-0.007099052;-0.074345213;0
0.01;10;4;974.6057947;0.847486408;0.363069831;0.948644972;0.521169746;1.001674816;0.38336566;-0.035394632;-0.008687176;-0.091972611;0
0.01;10;4;974.5940687;0.672041992;0.447421709;1.009999212;0.737398857;1.066458796;0.472432861;-0.019195829;-0.00475128;-0.048982732;0
0.01;10;4;979.523293;0.534866564;0.483034025;1.005086751;0.903234214;1.061271725;0.510035927;-0.007014168;-0.001747158;-0.017664983;0
0.01;10;4;994.188927;0.21739433;0.607670694;1.064029227;1.435860916;1.123509122;0.641639863;0.030774811;0.007817664;0.074607066;0.149214131
0.01;10;4;993.8510818;0.316673059;0.552057388;1.022920405;1.225743406;1.080102291;0.582917739;0.016102865;0.004059542;0.039602584;0.079205165
0.01;10;4;1011.868506;0.15131756;0.634129744;1.062979177;1.630729334;1.122400373;0.66957799;0.044120289;0.011285631;0.105619717;0.211239436
0.01;10;4;986.483316;0.504408182;0.468284633;0.958376564;0.942290536;1.011950409;0.494462035;-0.004174916;-0.001041466;-0.010482949;0
0.01;10;4;1010.649339;0.258441138;0.589283867;1.05715582;1.340566605;1.116251487;0.622225201;0.02415762;0.006115674;0.05894169;0.11788338
0.01;10;4;986.2729483;0.960257413;0.288534351;0.931018849;0.324274777;0.983063381;0.304663601;-0.050468288;-0.01228992;-0.133480182;0
0.01;10;4;1015.483081;0.010511243;0.863433781;1.201211932;3.039327443;1.268360425;0.911700265;0.1338774;0.035869794;0.297193948;0.594387896
0.01;10;4;1015.128316;0.306243599;0.54827649;1.010175736;1.244926506;1.066645187;0.578925486;0.017454817;0.00440346;0.042869788;0.085739575
0.01;10;4;986.2411624;0.125848175;0.6574362;1.080970284;1.728234506;1.141397194;0.694187292;0.050706339;0.013014639;0.120650795;0.241301598
0.01;10;4;990.7736926;0.515705113;0.523977718;1.07892737;0.927663103;1.13924008;0.553268398;-0.005236968;-0.001305682;-0.013164406;0
0.01;10;8;983.2781829;0.451113036;0.350500164;0.992900736;0.996511043;1.020739075;0.360327271;-0.000251719;-3.15E-05;-0.000314662;0
0.01;10;8;1000.986013;0.1653704;0.432757141;1.027687565;1.499276714;1.056501236;0.444890519;0.035144973;0.00448791;0.043670037;0.087340072
0.01;10;8;1002.550214;0.810094527;0.267726118;0.971192315;0.578766137;0.998422006;0.275232458;-0.031044132;-0.003808235;-0.039018505;0
0.01;10;8;988.9898001;0.327275227;0.387128346;1.021812055;1.170628204;1.050460991;0.397982411;0.012204396;0.001536889;0.015223503;0.030447007
0.01;10;8;1005.137561;0.616709536;0.320606886;1.001752167;0.800844226;1.029838676;0.329595864;-0.014511035;-0.001797995;-0.018184868;9.61E-15
0.01;10;8;1004.582963;0.094074294;0.476142449;1.060887879;1.748982528;1.090632399;0.489492237;0.052100052;0.006722041;0.064557623;0.129115209
0.01;10;8;978.5747297;0.031917022;0.522745379;1.062424291;2.201956943;1.092211888;0.537401791;0.081875394;0.010757248;0.100970353;0.201940707
0.01;10;8;1001.115493;0.762507244;0.279575726;0.970768387;0.636011088;0.997986193;0.287414298;-0.026746021;-0.00328952;-0.033590401;4.81E-15
0.01;10;8;984.49721;0.577984694;0.322596697;0.983979612;0.844662542;1.011567825;0.331641464;-0.011293171;-0.001402015;-0.014144306;9.61E-16
0.01;10;8;1014.700373;0.444637154;0.348400013;0.983336411;1.004799654;1.010906591;0.358168238;0.000346139;4.33E-05;0.000432648;0.000865288
0.01;10;8;1002.996606;0.676627438;0.304202366;0.989103343;0.733762293;1.016835212;0.312731405;-0.019465276;-0.002404627;-0.024414789;0
